Abbrev,Rep,Sp,DBH,Ht,Surv,Vig,Ins_res,Stem_Fm,Crown_Fm,Brnch_Fm,Utility
Cra,1,co,18.45,9.96,40.0,4.0,3.0,3.5,4.0,3.5,good
Cra,1,fr,13.15,9.65,90.0,4.5,4.0,3.5,3.5,3.0,best
Cra,1,ma,10.32,6.5,50.0,2.3,2.5,3.0,3.5,3.0,low
Cra,1,nd,14.8,9.48,70.0,3.7,3.0,3.3,4.0,3.5,good
Cra,1,ni,14.5,10.78,90.0,4.0,2.7,3.3,3.0,3.0,good
Cra,1,ob,17.01,12.28,70.0,5.0,4.0,5.0,4.0,4.5,best
Cra,1,ov,13.93,9.77,80.0,4.0,2.0,3.0,3.0,3.0,good
Cra,1,pu,19.05,11.26,100.0,5.0,4.5,3.5,4.0,2.0,best
Cra,1,rd,7.62,6.59,80.0,2.5,2.5,3.3,3.5,3.5,average
Cra,1,si,14.75,9.13,50.0,4.0,4.0,3.3,3.0,3.0,good
Cra,2,co,8.15,6.72,70.0,1.5,3.0,3.0,3.0,3.0,low
Cra,2,fr,15.07,7.17,10.0,4.0,4.0,3.3,3.0,2.0,good
Cra,2,ma,8.99,6.05,60.0,2.5,3.0,3.0,4.0,4.0,low
Cra,2,nd,13.13,6.08,80.0,3.5,4.0,4.0,3.5,3.5,best
Cra,2,ni,10.78,8.93,100.0,3.0,2.0,3.0,3.0,3.0,good
Cra,2,ob,13.08,9.79,90.0,5.0,4.5,5.0,4.0,4.0,best
Cra,2,ov,10.22,8.32,100.0,3.0,1.8,3.0,3.0,3.0,average
Cra,2,pu,18.71,10.9,100.0,4.0,4.0,3.3,4.0,3.0,best
Cra,2,rd,8.23,6.5,70.0,2.0,2.0,3.3,4.0,3.5,low
Cra,2,si,17.52,9.22,60.0,4.0,3.0,3.0,3.0,2.0,good
Cra,3,co,10.75,5.91,50.0,2.7,4.0,3.3,3.5,3.0,average
Cra,3,fr,21.52,8.77,20.0,4.0,3.5,3.0,3.0,1.0,average
Cra,3,ma,15.22,6.5,30.0,3.0,4.0,3.0,3.0,3.0,average
Cra,3,nd,9.73,8.67,70.0,2.7,4.0,3.5,3.5,3.5,good
Cra,3,ni,17.15,8.22,60.0,5.0,2.7,3.5,3.0,2.0,good
Cra,3,ob,16.13,9.95,50.0,4.3,4.5,3.3,3.5,3.0,good
Cra,3,ov,8.78,5.79,50.0,2.5,2.0,3.2,3.3,3.0,average
Cra,3,pu,17.18,9.99,90.0,4.3,4.5,3.5,4.0,3.3,good
Cra,3,rd,12.39,5.55,80.0,3.0,2.5,2.0,2.0,2.0,average
Cra,3,si,14.75,7.79,30.0,4.0,4.0,4.0,2.5,2.0,good
Cly,1,fr,27.98,8.64,31.2,2.3,4.0,2.0,2.0,2.0,low
Cly,1,nd,25.99,9.6,32.4,4.0,4.0,3.0,4.0,2.7,best
Cly,1,ni,33.41,8.35,33.6,4.0,2.8,2.5,1.5,1.5,average
Cly,1,ov,33.3,13.32,34.8,4.0,2.3,3.3,2.0,1.0,good
Cly,1,pu,33.13,12.33,36.0,4.0,4.0,3.5,4.0,2.7,good
Cly,1,rd,12.79,8.82,37.2,2.5,3.0,3.3,4.0,4.0,low
Cly,2,co,25.92,12.12,38.4,3.3,3.0,4.0,3.5,3.5,good
Cly,2,fr,26.94,9.93,39.6,3.3,4.0,3.0,3.5,3.0,good
Cly,2,mn,11.88,8.23,40.8,2.0,4.0,4.0,4.0,4.0,low
Cly,2,nd,24.42,10.47,42.0,4.5,4.0,4.3,3.7,3.3,best
Cly,2,ni,31.74,11.69,43.2,4.0,2.5,3.0,3.0,2.0,good
Cly,2,ob,39.72,13.82,44.4,5.0,4.0,3.3,3.0,2.0,best
Cly,2,ov,31.38,13.32,45.6,4.3,2.7,4.0,3.5,3.3,best
Cly,2,pu,31.72,9.96,46.8,4.5,4.0,3.5,3.5,3.0,best
Cly,2,rd,23.36,10.33,48.0,3.3,3.0,3.0,4.0,4.0,good
Cly,3,co,13.99,5.59,49.2,2.0,4.0,3.0,4.0,3.0,low
Cly,3,fr,3.072,9.93,50.4,3.0,4.0,2.0,2.0,1.0,good
Cly,3,mn,26.5,10.97,51.599999999999994,3.5,3.5,3.7,4.0,3.7,good
Cly,3,nd,24.42,7.85,52.8,3.0,3.5,3.3,3.3,3.3,good
Cly,3,ni,32.99,12.53,54.0,5.0,2.5,4.0,3.0,2.0,good
Cly,3,ob,30.48,12.09,55.2,4.5,4.0,3.5,3.5,2.5,best
Cly,3,ov,9.99,7.49,56.4,2.0,2.0,3.0,4.0,4.0,low
Cly,3,pu,39.65,10.56,57.599999999999994,4.0,4.5,3.0,3.0,1.0,best
Cly,3,rd,22.72,11.52,58.8,3.0,2.5,3.5,3.5,2.8,good
Nga,1,co,10.1,8.2,60.0,3.0,4.0,3.5,3.5,3.2,average
Nga,1,mn,4.7,5.5,20.0,1.0,1.5,2.0,3.0,3.0,none
Nga,1,nd,17.0,12.6,50.0,4.3,4.0,3.2,4.0,3.5,good
Nga,1,ni,10.3,9.4,80.0,3.0,2.5,3.0,3.0,3.0,good
Nga,1,ob,21.6,12.0,40.0,4.0,3.7,3.5,3.5,3.0,good
Nga,1,ov,11.3,10.0,40.0,2.7,2.0,3.2,4.0,3.0,average
Nga,1,pu,12.7,9.3,80.0,2.9,4.0,3.2,3.9,3.4,good
Nga,1,rd,5.4,4.5,20.0,1.0,2.0,3.0,3.0,3.0,none
Nga,2,co,6.8,5.5,60.0,2.5,3.5,3.5,3.5,3.0,low
Nga,2,fr,17.8,10.0,10.0,4.0,4.0,3.5,4.0,2.0,good
Nga,2,nd,20.4,10.2,60.0,4.0,4.0,3.0,3.0,2.5,good
Nga,2,ni,19.1,9.7,60.0,3.7,3.0,2.0,2.0,1.5,good
Nga,2,ob,15.5,9.8,40.0,4.0,3.5,3.5,3.5,3.0,good
Nga,2,ov,13.5,7.7,30.0,3.0,2.0,3.3,4.0,3.5,good
Nga,2,pu,20.8,12.0,20.0,3.0,4.0,3.0,3.5,3.0,average
Nga,2,rd,11.5,5.8,40.0,1.5,2.0,2.5,3.5,2.5,none
Nga,3,fr,37.6,13.0,10.0,5.0,4.0,2.0,2.0,1.0,good
Nga,3,nd,24.5,12.0,20.0,4.0,4.0,4.0,4.0,2.0,good
Nga,3,ni,17.6,9.0,90.0,4.5,2.5,3.0,2.0,1.5,good
Nga,3,ov,16.2,10.2,60.0,4.0,2.3,3.0,3.3,3.0,best
Nga,3,pu,11.5,9.0,20.0,2.7,3.7,4.0,4.0,3.0,good
Nga,3,rd,7.6,5.5,20.0,1.0,2.0,2.0,3.0,3.0,none
Wai,1,ag,3.4,5.5,50.0,1.0,1.0,3.0,3.0,3.0,none
Wai,1,bxs,17.6,12.6,71.0,3.5,3.0,3.3,2.5,2.0,good
Wai,1,br,14.0,10.0,100.0,2.5,1.5,3.0,4.0,4.0,low
Wai,1,br,8.8,11.4,100.0,2.0,2.0,4.0,4.0,4.0,low
Wai,1,el,15.8,10.0,38.0,3.5,3.5,3.3,3.5,3.0,average
Wai,1,fa,15.5,10.5,50.0,3.0,3.3,3.3,3.0,3.0,best
Wai,1,fa,14.6,11.1,100.0,4.0,3.0,3.5,3.5,3.3,good
Wai,1,fr,17.3,13.2,71.0,3.3,3.0,3.0,3.0,3.0,average
Wai,1,fr,13.3,10.8,75.0,4.0,3.8,4.0,4.0,4.0,best
Wai,1,fr,19.8,10.7,75.0,4.5,3.0,3.0,3.0,2.5,good
Wai,1,jo,5.2,4.3,75.0,0.5,0.5,4.0,4.0,4.0,none
Wai,1,ka,15.0,11.3,88.0,2.3,1.7,3.0,3.0,2.0,low
Wai,1,nd,15.3,10.8,75.0,3.0,3.0,3.0,4.0,3.5,best
Wai,1,ob,19.0,16.0,88.0,4.3,3.0,4.8,4.0,4.0,best
Wai,1,ov,7.2,6.0,50.0,1.3,1.3,4.0,4.0,4.0,none
Wai,1,pu,15.9,12.8,100.0,4.0,4.0,3.3,4.0,3.0,best
Wai,1,re,18.1,14.8,100.0,4.6,4.0,4.3,4.3,4.0,best
Wai,1,re,17.0,14.1,88.0,4.5,3.0,3.7,3.7,3.7,best
Wai,1,re,26.1,16.0,38.0,5.0,3.0,4.0,4.0,2.7,best
Wai,1,rd,12.2,13.8,50.0,2.0,1.5,3.0,3.0,3.0,low
Wai,1,sm,9.3,4.3,63.0,1.0,1.2,1.0,1.0,1.0,none
Wai,1,re,22.6,13.4,100.0,5.0,3.0,2.3,2.7,2.0,best
Wai,2,ag,7.8,7.4,63.0,1.0,1.0,3.0,3.0,3.0,none
Wai,2,bxs,16.4,13.3,100.0,4.5,3.0,3.3,3.3,2.7,good
Wai,2,br,11.9,9.7,100.0,2.3,1.8,3.0,3.5,3.2,low
Wai,2,br,10.4,9.4,88.0,2.0,1.7,4.0,4.0,4.0,low
Wai,2,el,13.5,10.0,13.0,3.0,4.0,3.0,4.0,3.3,low
Wai,2,fa,23.0,11.0,13.0,3.0,3.5,2.0,1.0,1.0,average
Wai,2,fa,23.7,12.6,88.0,5.0,3.3,3.0,2.0,2.0,good
Wai,2,fr,33.8,16.0,50.0,5.0,3.0,2.0,2.0,0.5,good
Wai,2,fr,17.0,15.3,75.0,4.7,4.0,3.5,4.0,4.0,best
Wai,2,fr,20.8,12.6,63.0,4.0,3.0,3.3,3.5,3.5,good
Wai,2,jo,6.5,4.4,63.0,0.5,0.5,4.0,4.5,4.0,none
Wai,2,ka,10.4,6.4,75.0,1.7,1.5,0.0,0.0,0.0,none
